session_id,item_id,label
226,27768,1
226,16224,0
226,20051,0
226,8987,0
226,6537,0
802,27679,1
802,4405,0
802,23159,0
802,6869,0
802,16529,0
2242,18156,1
2242,13933,0
2242,6081,0
2242,26719,0
2242,12176,0
3176,22231,1
3176,5373,0
3176,2150,0
3176,27288,0
3176,25329,0
4604,4167,1
4604,22838,0
4604,2454,0
4604,19444,0
4604,10293,0
5426,9046,1
5426,23353,0
5426,15928,0
5426,27868,0
5426,2380,0
6880,25127,1
6880,6861,0
6880,1481,0
6880,25490,0
6880,2408,0
7860,4590,1
7860,23787,0
7860,4343,0
7860,8676,0
7860,12983,0
8917,8936,1
8917,3114,0
8917,20719,0
8917,14487,0
8917,1791,0
9089,13023,1
9089,25832,0
9089,12845,0
9089,5082,0
9089,16529,0
10089,19764,1
10089,21716,0
10089,27732,0
10089,24888,0
10089,17832,0
12151,5870,1
12151,4281,0
12151,6889,0
12151,12845,0
12151,3869,0
14149,21951,1
14149,23015,0
14149,6301,0
14149,1191,0
14149,12337,0
17810,13481,1
17810,21641,0
17810,23116,0
17810,24820,0
17810,19565,0
18040,21783,1
18040,24128,0
18040,13752,0
18040,22719,0
18040,25523,0
19673,23957,1
19673,19604,0
19673,23028,0
19673,15035,0
19673,25975,0
19961,14584,1
19961,7138,0
19961,25314,0
19961,20289,0
19961,4104,0
21705,4028,1
21705,8469,0
21705,2217,0
21705,25401,0
21705,15070,0
21877,11743,1
21877,21148,0
21877,8695,0
21877,23389,0
21877,26967,0
22726,11742,1
22726,2805,0
22726,2953,0
22726,15140,0
22726,22833,0
23122,19912,1
23122,14549,0
23122,8622,0
23122,5972,0
23122,5367,0
23228,1272,1
23228,9871,0
23228,2465,0
23228,15229,0
23228,4179,0
26161,4867,1
26161,5370,0
26161,10230,0
26161,23952,0
26161,5491,0
27171,18156,1
27171,5619,0
27171,19805,0
27171,24887,0
27171,26400,0
27204,10909,1
27204,1643,0
27204,3055,0
27204,3514,0
27204,152,0
27448,8622,1
27448,826,0
27448,16205,0
27448,11352,0
27448,23419,0
29474,21781,1
29474,19275,0
29474,13340,0
29474,3232,0
29474,14961,0
29534,5932,1
29534,8622,0
29534,13850,0
29534,22302,0
29534,1358,0
30215,27613,1
30215,6817,0
30215,26291,0
30215,5036,0
30215,5655,0
33809,20812,1
33809,13542,0
33809,10006,0
33809,22206,0
33809,21353,0
34504,8368,1
34504,15661,0
34504,20160,0
34504,22947,0
34504,24042,0
37036,16230,1
37036,3183,0
37036,25971,0
37036,10943,0
37036,23981,0
38535,15140,1
38535,22460,0
38535,22704,0
38535,11357,0
38535,27321,0
39679,13963,1
39679,2780,0
39679,5528,0
39679,19084,0
39679,5403,0
40121,18626,1
40121,74,0
40121,1322,0
40121,25755,0
40121,10680,0
41591,18626,1
41591,3320,0
41591,27622,0
41591,14907,0
41591,1600,0
41961,17949,1
41961,5061,0
41961,20824,0
41961,3531,0
41961,22542,0
42910,11804,1
42910,18816,0
42910,26279,0
42910,9609,0
42910,15303,0
43431,9046,1
43431,9077,0
43431,10991,0
